Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty
Curt,sparing of words,shortened in linear dimension,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"abrupt, bluff, blunt, brusque 
 (also brusk), crusty, downright, short, short-spoken, snippy, unceremonious","circuitous, mealymouthed","bluff, blunt, brusque, curt, crusty, gruff mean abrupt and unceremonious in speech and manner

bluff connotes good-natured outspokenness and unconventionality
a bluff manner

blunt suggests directness of expression in disregard of others' feelings
a blunt appraisal

brusque applies to a sharpness or ungraciousness
a brusque response

curt implies disconcerting shortness or rude conciseness
a curt command

crusty suggests a harsh or surly manner sometimes concealing an inner kindliness
a crusty exterior

gruff suggests a hoarse or husky speech which may imply bad temper but more often implies embarrassment or shyness
puts on a gruff pose",first
Curtain,a hanging screen usually capable of being drawn back or up,a device or agency that conceals or acts as a barrier  — compare iron curtain,the part of a bastioned front that connects two neighboring bastions,the movable screen separating the stage from the auditorium of a theater,to furnish with or as if with curtains,"blanket, cloak, cope, cover, cover-up, covering, coverture, hood, mantle, mask, pall, penumbra, robe, shroud, veil, wraps","bare, disclose, display, divulge, expose, reveal, show, uncloak, uncover, unmask, unveil",Oops! So Empty!,first
Cynicism,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Damask,"a firm lustrous fabric (as of linen, cotton, silk, or rayon) made with flat patterns in a satin weave on a plain-woven ground on jacquard looms",made of or resembling damask,of the color damask,a grayish red,damascus steel,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,fourth
Darting,a light spear,something projected with sudden speed,something with a slender pointed shaft or outline,a quick movement,to throw with a sudden movement,"affront, barb, brickbat, cut, dig, dis 
 (also diss) 
[slang], epithet, gird, indignity, insult, name, offense 
 (or offence), outrage, personality, poke, put-down, sarcasm, slap, slight, slur","dance, flick, flicker, flirt, flit, flitter, flutter, zip",Oops! So Empty!,second
Decoy,a pond into which wildfowl are lured for capture,someone or something used to lure or lead another into a trap,someone or something used to draw attention away from another,Oops! So Empty!,Oops! So Empty!,"bait, lure","allure, bait, beguile, betray, entice, lead on, lure, seduce, solicit, tempt","lure, entice, inveigle, decoy, tempt, seduce mean to lead astray from one's true course

lure implies a drawing into danger, evil, or difficulty through attracting and deceiving
lured naive investors with get-rich-quick schemes

entice suggests drawing by artful or adroit means
advertising designed to entice new customers

inveigle implies enticing by cajoling or flattering
fund-raisers inveigling wealthy alumni

decoy implies a luring into entrapment by artifice
attempting to decoy the enemy into an ambush

tempt implies the presenting of an attraction so strong that it overcomes the restraints of conscience or better judgment
tempted by the offer of money

seduce implies a leading astray by persuasion or false promises
seduced by assurances of assistance",first
Decrepit,wasted and weakened by or as if by the infirmities of old age,impaired by use or wear,"dilapidated, run-down",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"weak, feeble, frail, fragile, infirm, decrepit mean not strong enough to endure strain, pressure, or strenuous effort

weak applies to deficiency or inferiority in strength or power of any sort
felt weak after the surgery

feeble suggests extreme weakness inviting pity or contempt
a feeble attempt to walk

frail implies delicacy and slightness of constitution or structure
a frail teenager unable to enjoy sports

fragile suggests frailty and brittleness unable to resist rough usage
a reclusive poet too fragile for the rigors of this world

infirm suggests instability, unsoundness, and insecurity due to old age or crippling illness
infirm residents requiring constant care

decrepit implies being worn-out or broken-down from long use or old age
the dowager's decrepit retainers",third
Deemed,to come to think or judge,to have an opinion,to have as an opinion,Oops! So Empty!,Oops! So Empty!,"allow 
[chiefly Southern & Midland], believe, conceive, consider, esteem, feel, figure, guess, hold, imagine, judge, reckon 
[chiefly dialect], suppose, think","allow 
[chiefly Southern & Midland], believe, conceive, consider, esteem, feel, figure, guess, hold, imagine, judge, reckon 
[chiefly dialect], suppose, think",Oops! So Empty!,first
Deferred,withheld for or until a stated time,charged in cases of delayed handling,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Delectable,highly pleasing,very pleasing,delicious,Oops! So Empty!,Oops! So Empty!,"agreeable, blessed 
 (also blest), congenial, darling, delicious, delightful, delightsome, dreamy, dulcet, enjoyable, felicitous, good, grateful, gratifying, heavenly, jolly, luscious, nice, palatable, pleasant, pleasing, pleasurable, pretty, satisfying, savory 
 (also savoury), sweet, tasty, welcome","disagreeable, pleasureless, unpalatable, unpleasant, unwelcome",Oops! So Empty!,first
Delicate,pleasing to the senses,marked by keen sensitivity or fine discrimination,not robust in health or constitution,requiring careful handling,marked by great precision or sensitivity,"airy, dainty, exquisite, nuanced, refined, subtle","robust, strong, sturdy","choice, exquisite, elegant, rare, delicate, dainty mean having qualities that appeal to a cultivated taste

choice stresses preeminence in quality or kind
choice fabric

exquisite implies a perfection in workmanship or design that appeals only to very sensitive taste
an exquisite gold bracelet

elegant applies to what is rich and luxurious but restrained by good taste
a sumptuous but elegant dining room

rare suggests an uncommon excellence
rare beauty

delicate implies exquisiteness, subtlety, and fragility
delicate craftsmanship

dainty sometimes carries an additional suggestion of smallness and of appeal to the eye or palate
dainty sandwiches",first
Delight,a high degree of gratification or pleasure,something that gives great pleasure,the power of affording pleasure,to take great pleasure,to give keen enjoyment,"delectation, feast, gas 
[slang], joy, kick, manna, pleasure, treat","crow, exuberate, exult, glory, joy, jubilate, kvell, rejoice, triumph",Oops! So Empty!,first
Delinquent,offending by neglect or violation of duty or of law,being overdue in payment,"of, relating to, or characteristic of people who regularly perform illegal or immoral acts",offending by neglect or violation of duty or of law,"of, relating to, or characteristic of delinquents","behind, behindhand, belated, late, latish, overdue, tardy","early, inopportune, precocious, premature, unseasonable, untimely",Oops! So Empty!,second
Dells,a secluded hollow or small valley usually covered with trees or turf,a small valley usually covered with trees,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second
Demure,proper and reserved in behavior and speech,pretending to be proper and reserved,"affectedly modest, reserved, or serious","reserved, modest",Oops! So Empty!,"coquettish, coy, kittenish",uncoy,Oops! So Empty!,first
Desolate,devoid of inhabitants and visitors,"joyless, disconsolate, and sorrowful through or as if through separation from a loved one",showing the effects of abandonment and neglect,having no comfort or companionship,left neglected or in ruins,"black, bleak, cheerless, chill, Cimmerian, cloudy, cold, comfortless, dark, darkening, depressing, depressive, dire, disconsolate, dismal, drear, dreary, dreich 
[chiefly Scottish], elegiac 
 (also elegiacal), forlorn, funereal, gloomy, glum, godforsaken, gray 
 (also grey), lonely, lonesome, lugubrious, miserable, morbid, morose, murky, plutonian, saturnine, sepulchral, solemn, somber 
 (or sombre), sullen, sunless, tenebrific, tenebrous, wretched","build, construct, erect, put up, raise, rear, set up","alone, solitary, lonely, lonesome, lone, forlorn, desolate mean isolated from others

alone stresses the objective fact of being by oneself with slighter notion of emotional involvement than most of the remaining terms
everyone needs to be alone sometimes

solitary may indicate isolation as a chosen course
glorying in the calm of her solitary life

but more often it suggests sadness and a sense of loss
left solitary by the death of his wife

lonely adds to solitary a suggestion of longing for companionship
felt lonely and forsaken

lonesome heightens the suggestion of sadness and poignancy
an only child often leads a lonesome life

lone may replace lonely or lonesome but typically is as objective as alone
a lone robin pecking at the lawn

forlorn stresses dejection, woe, and listlessness at separation from one held dear
a forlorn lost child

desolate implies inconsolable grief at loss or bereavement
desolate after her brother's death",first
Destitute,lacking something needed or desirable,lacking possessions and resources,very poor,Oops! So Empty!,Oops! So Empty!,"beggared, beggarly, broke, dirt-poor, down-and-out, famished, hard up, impecunious, impoverished, indigent, necessitous, needful, needy, pauperized, penniless, penurious, poor, poverty-stricken, skint 
[chiefly British], threadbare","affluent, deep-pocketed, fat, fat-cat, flush, moneyed 
 (also monied), opulent, rich, silk-stocking, wealthy, well-heeled, well-off, well-to-do",Oops! So Empty!,first
