,Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty,Choose the Right Synonym Final
124,Grotesque,"a style of decorative art characterized by fanciful or fantastic human and animal forms often interwoven with foliage or similar figures that may distort the natural into absurdity, ugliness, or caricature",one that is grotesque,sans serif,Oops! So Empty!,Oops! So Empty!,"grotesquerie 
 (also grotesquery), monster, monstrosity, ogre","aesthetic 
 (also esthetic or aesthetical or esthetical)","fantastic, bizarre, grotesque mean conceived, made, or carried out without adherence to truth or reality

fantastic may connote extravagance in conception or ingenuity of decorative invention
dreamed up fantastic rumors

bizarre applies to the sensationally strange and implies violence of contrast or incongruity of combination
a bizarre medieval castle in the heart of a modern city

grotesque may apply to what is conventionally ugly but artistically effective or it may connote ludicrous awkwardness or incongruity often with sinister or tragic overtones
grotesque statues on the cathedral

though grieving, she made a grotesque attempt at a smile",third,"fantastic, bizarre, grotesque mean conceived, made, or carried out without adherence to truth or reality<br><br>fantastic may connote extravagance in conception or ingenuity of decorative invention<br>dreamed up fantastic rumors<br><br>bizarre applies to the sensationally strange and implies violence of contrast or incongruity of combination<br>a bizarre medieval castle in the heart of a modern city<br><br>grotesque may apply to what is conventionally ugly but artistically effective or it may connote ludicrous awkwardness or incongruity often with sinister or tragic overtones<br>grotesque statues on the cathedral<br><br>though grieving, she made a grotesque attempt at a smile"
125,Gullible,easily duped or cheated,easily fooled or cheated,easily fooled or cheated,Oops! So Empty!,Oops! So Empty!,"dewy-eyed, easy, exploitable, naive 
 (or naïve), susceptible, trusting, unwary, wide-eyed","dewy-eyed, easy, exploitable, naive 
 (or naïve), susceptible, trusting, unwary, wide-eyed",Oops! So Empty!,first,Oops! So Empty!
126,Harbinger,something that foreshadows a future event,a person sent ahead to provide lodgings,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"angel, foregoer, forerunner, herald, outrider, precursor","adumbrate, forerun, foreshadow, herald, prefigure","forerunner, precursor, harbinger, herald mean one that goes before or announces the coming of another

forerunner is applicable to anything that serves as a sign or presage
the blockade was the forerunner of war

precursor applies to a person or thing paving the way for the success or accomplishment of another
18th century poets like Burns were precursors of the Romantics

harbinger and herald both apply, chiefly figuratively, to one that proclaims or announces the coming or arrival of a notable event
their early victory was the harbinger of a winning season

the herald of a new age in medicine",first,"forerunner, precursor, harbinger, herald mean one that goes before or announces the coming of another<br><br>forerunner is applicable to anything that serves as a sign or presage<br>the blockade was the forerunner of war<br><br>precursor applies to a person or thing paving the way for the success or accomplishment of another<br>18th century poets like Burns were precursors of the Romantics<br><br>harbinger and herald both apply, chiefly figuratively, to one that proclaims or announces the coming or arrival of a notable event<br>their early victory was the harbinger of a winning season<br><br>the herald of a new age in medicine"
127,Harbingers,something that foreshadows a future event,a person sent ahead to provide lodgings,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"angel, foregoer, forerunner, herald, outrider, precursor","adumbrate, forerun, foreshadow, herald, prefigure","forerunner, precursor, harbinger, herald mean one that goes before or announces the coming of another

forerunner is applicable to anything that serves as a sign or presage
the blockade was the forerunner of war

precursor applies to a person or thing paving the way for the success or accomplishment of another
18th century poets like Burns were precursors of the Romantics

harbinger and herald both apply, chiefly figuratively, to one that proclaims or announces the coming or arrival of a notable event
their early victory was the harbinger of a winning season

the herald of a new age in medicine",first,"forerunner, precursor, harbinger, herald mean one that goes before or announces the coming of another<br><br>forerunner is applicable to anything that serves as a sign or presage<br>the blockade was the forerunner of war<br><br>precursor applies to a person or thing paving the way for the success or accomplishment of another<br>18th century poets like Burns were precursors of the Romantics<br><br>harbinger and herald both apply, chiefly figuratively, to one that proclaims or announces the coming or arrival of a notable event<br>their early victory was the harbinger of a winning season<br><br>the herald of a new age in medicine"
128,Harlot,a person who has sex with someone in exchange for money,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
129,Hindsight,perception of the nature of an event after it has happened,the knowledge and understanding that you have about an event only after it has happened,understanding of something only after it has happened,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
130,Horology,the science of measuring time,the art of making instruments for indicating time,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
131,Hymns,a song of praise to God,a song of praise or joy,something resembling a song of praise,Oops! So Empty!,Oops! So Empty!,"anthem, canticle, carol, chorale, psalm, spiritual","bless, carol, celebrate, emblazon, exalt, extol 
 (also extoll), glorify, laud, magnify, praise, resound",Oops! So Empty!,third,Oops! So Empty!
132,Ilk,sort or kind,"sort, kind",same,each,Oops! So Empty!,"breed, class, description, feather, genre, kidney, kind, like, manner, nature, order, sort, species, strain, stripe, type, variety","breed, class, description, feather, genre, kidney, kind, like, manner, nature, order, sort, species, strain, stripe, type, variety",Oops! So Empty!,first,Oops! So Empty!
133,Imbecile,a foolish or stupid person,a person affected with moderate intellectual disability,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"airhead, birdbrain, blockhead, bonehead, bubblehead, chowderhead, chucklehead, clodpoll 
 (or clodpole), clot 
[British], cluck, clunk, cretin, cuddy 
 (or cuddie) 
[British dialect], deadhead, dim bulb 
[slang], dimwit, dip, dodo, dolt, donkey, doofus 
[slang], dope, dork 
[slang], dullard, dum-dum, dumbbell, dumbhead, dummkopf, dummy, dunce, dunderhead, fathead, gander, golem, goof, goon, half-wit, hammerhead, hardhead, idiot, ignoramus, jackass, know-nothing, knucklehead, lamebrain, loggerhead 
[chiefly dialect], loon, lump, lunkhead, meathead, mome 
[archaic], moron, mug 
[chiefly British], mutt, natural, nimrod 
[slang], nincompoop, ninny, ninnyhammer, nit 
[chiefly British], nitwit, noddy, noodle, numskull 
 (or numbskull), oaf, pinhead, prat 
[British], ratbag 
[chiefly Australian], saphead, schlub 
 (also shlub) 
[slang], schnook 
[slang], simpleton, stock, stupe, stupid, thickhead, turkey, woodenhead, yahoo, yo-yo","brain, genius",Oops! So Empty!,first,Oops! So Empty!
134,Imbeciles,a foolish or stupid person,a person affected with moderate intellectual disability,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"airhead, birdbrain, blockhead, bonehead, bubblehead, chowderhead, chucklehead, clodpoll 
 (or clodpole), clot 
[British], cluck, clunk, cretin, cuddy 
 (or cuddie) 
[British dialect], deadhead, dim bulb 
[slang], dimwit, dip, dodo, dolt, donkey, doofus 
[slang], dope, dork 
[slang], dullard, dum-dum, dumbbell, dumbhead, dummkopf, dummy, dunce, dunderhead, fathead, gander, golem, goof, goon, half-wit, hammerhead, hardhead, idiot, ignoramus, jackass, know-nothing, knucklehead, lamebrain, loggerhead 
[chiefly dialect], loon, lump, lunkhead, meathead, mome 
[archaic], moron, mug 
[chiefly British], mutt, natural, nimrod 
[slang], nincompoop, ninny, ninnyhammer, nit 
[chiefly British], nitwit, noddy, noodle, numskull 
 (or numbskull), oaf, pinhead, prat 
[British], ratbag 
[chiefly Australian], saphead, schlub 
 (also shlub) 
[slang], schnook 
[slang], simpleton, stock, stupe, stupid, thickhead, turkey, woodenhead, yahoo, yo-yo","brain, genius",Oops! So Empty!,first,Oops! So Empty!
135,Immaculate,having or containing no flaw or error,having no colored spots or marks,having no stain or blemish,spotlessly clean,perfectly clean,"chaste, clean, decent, G-rated, modest, pure, vestal, virgin, virginal","coarse, dirty, filthy, immodest, impure, indecent, obscene, smutty, unchaste, unclean, vulgar",Oops! So Empty!,third,Oops! So Empty!
136,Impasse,a predicament affording no obvious escape,an impassable road or way,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"deadlock, gridlock, halt, logjam, Mexican standoff, stalemate, standoff, standstill","deadlock, gridlock, halt, logjam, Mexican standoff, stalemate, standoff, standstill",Oops! So Empty!,first,Oops! So Empty!
137,Impeccable,free from fault or blame,not capable of sinning or liable to sin,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"absolute, faultless, flawless, ideal, immaculate, indefectible, irreproachable, letter-perfect, perfect, picture-book, picture-perfect, seamless, unblemished","amiss, bad, censurable, defective, faulty, flawed, imperfect, reproachable",Oops! So Empty!,first,Oops! So Empty!
138,Implacable,opposed to someone or something in a very angry or determined way that cannot be changed,"impossible to please, satisfy, or change",not placable,Oops! So Empty!,Oops! So Empty!,"adamant, adamantine, bullheaded, dogged, hard, hard-nosed, hardened, hardheaded, headstrong, immovable, inconvincible, inflexible, intransigent, mulish, obdurate, obstinate, opinionated, ossified, pat, pertinacious, perverse, pigheaded, self-opinionated, self-willed, stiff-necked, stubborn, unbending, uncompromising, unrelenting, unyielding, willful 
 (or wilful)","acquiescent, agreeable, amenable, compliant, complying, flexible, pliable, pliant, relenting, yielding",Oops! So Empty!,third,Oops! So Empty!
